date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (17h);isTp;gain heure SL (17h);isTp;isSl
06/04/06;141,098354;0;-30;0;1;124,498548;0;-30;0;1
07/04/06;56,44206;0;-30;0;1;98,250993;0;-30;0;1
08/04/06;0;0;0;0;0;0;0;0;0;0
09/04/06;0;0;0;0;0;0;0;0;0;0
10/04/06;-98,594504;0;-30;0;1;-65,030417;0;-30;0;1
11/04/06;-35,502959;0;-30;0;1;-39,679777;0;-30;0;1
12/04/06;22,999721;0;-30;0;1;41,817675;0;-30;0;1
13/04/06;14,639247;0;-30;0;1;56,465667;0;-30;0;1
14/04/06;12,526096;0;12,526096;0;0;2,087683;0;2,087683;0;0
15/04/06;0;0;0;0;0;0;0;0;0;0
16/04/06;0;0;0;0;0;0;0;0;0;0
17/04/06;-68,726137;0;-30;0;1;-77,056578;0;-30;0;1
18/04/06;-56,144729;0;-30;0;1;-43,668122;0;-30;0;1
19/04/06;-112,033195;0;-30;0;1;-147,302905;0;-30;0;1
20/04/06;84,70491;0;-30;0;1;101,232697;0;-30;0;1
21/04/06;56,024346;0;-30;0;1;56,024346;0;-30;0;1
22/04/06;0;0;0;0;0;0;0;0;0;0
23/04/06;0;0;0;0;0;0;0;0;0;0
24/04/06;-128,124344;0;-30;0;1;-140,726738;0;-30;0;1
25/04/06;-194,818945;0;-30;0;1;-163,054987;0;-30;0;1
26/04/06;2,097902;0;-30;0;1;12,587413;0;-30;0;1
27/04/06;-2,10084;0;-30;0;1;-42,016807;0;-30;0;1
28/04/06;-90,09009;0;-30;0;1;-94,280327;0;-30;0;1
29/04/06;0;0;0;0;0;0;0;0;0;0
30/04/06;0;0;0;0;0;0;0;0;0;0
31/4/2006;0;0;0;0;0;0;0;0;0;0
01/05/06;60,885996;0;-30;0;1;50,388411;0;-30;0;1
02/05/06;-18,856065;0;-30;0;1;-4,190237;0;-30;0;1
03/05/06;-69,18239;0;-30;0;1;-54,507338;0;-30;0;1
04/05/06;-31,297816;0;-30;0;1;-50,076506;0;-30;0;1
05/05/06;255;1;-30;0;1;218,355747;0;-30;0;1
06/05/06;0;0;0;0;0;0;0;0;0;0
07/05/06;0;0;0;0;0;0;0;0;0;0
08/05/06;92,742219;0;92,742219;0;0;118,035551;0;118,035551;0;0
09/05/06;-38,095238;0;-30;0;1;-19,047619;0;-30;0;1
10/05/06;27,534595;0;27,534595;0;0;27,534595;0;27,534595;0;0
11/05/06;-23,305085;0;-30;0;1;-72,033898;0;-30;0;1
12/05/06;-146,083275;0;-30;0;1;-133,380381;0;-30;0;1
13/05/06;0;0;0;0;0;0;0;0;0;0
14/05/06;0;0;0;0;0;0;0;0;0;0
15/05/06;36,039856;0;-30;0;1;2,119992;0;-30;0;1
16/05/06;12,749681;0;-30;0;1;-63,748406;0;-30;0;1
17/05/06;17,028523;0;17,028523;0;0;110,685398;0;110,685398;0;0
18/05/06;-157,190399;0;-30;0;1;-110,458118;0;-30;0;1
19/05/06;-56,95802;0;-30;0;1;-69,615358;0;-30;0;1
20/05/06;0;0;0;0;0;0;0;0;0;0
21/05/06;0;0;0;0;0;0;0;0;0;0
22/05/06;-10,460251;0;-30;0;1;-50,209205;0;-30;0;1
23/05/06;-33,585223;0;-30;0;1;-25,188917;0;-30;0;1
24/05/06;6,257387;0;-30;0;1;-4,171591;0;-30;0;1
25/05/06;214,493961;0;214,493961;0;0;193,669304;0;193,669304;0;0
26/05/06;-56,576098;0;-30;0;1;-25,144933;0;-30;0;1
27/05/06;0;0;0;0;0;0;0;0;0;0
28/05/06;0;0;0;0;0;0;0;0;0;0
29/05/06;-62,857941;0;-30;0;1;-79,620059;0;-30;0;1
30/05/06;-188,166423;0;-30;0;1;-158,89609;0;-30;0;1
31/05/06;-35,433891;0;-30;0;1;-29,180852;0;-30;0;1
01/06/06;-60,454451;0;-30;0;1;-43,777361;0;-30;0;1
02/06/06;56,074766;0;-30;0;1;66,458982;0;-30;0;1
03/06/06;0;0;0;0;0;0;0;0;0;0
04/06/06;0;0;0;0;0;0;0;0;0;0
05/06/06;-29,05569;0;-30;0;1;-31,131097;0;-30;0;1
06/06/06;-53,778268;0;-30;0;1;-82,735797;0;-30;0;1
07/06/06;2,066827;0;-30;0;1;-8,26731;0;-30;0;1
08/06/06;204,179843;0;-30;0;1;204,179843;0;-30;0;1
09/06/06;18,744793;0;-30;0;1;18,744793;0;-30;0;1
10/06/06;0;0;0;0;0;0;0;0;0;0
11/06/06;0;0;0;0;0;0;0;0;0;0
12/06/06;91,577633;0;-30;0;1;35,382267;0;-30;0;1
13/06/06;-124,87859;0;-30;0;1;-124,87859;0;-30;0;1
14/06/06;-82,9302;0;-30;0;1;-47,684865;0;-30;0;1
15/06/06;-60,045552;0;-30;0;1;-24,846435;0;-30;0;1
16/06/06;-70,320579;0;-30;0;1;-57,911065;0;-30;0;1
17/06/06;0;0;0;0;0;0;0;0;0;0
