tpa = 290;tpv=500;;;;;;;;;
;;;;;;;;;;
dP = -17;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl (80);isTp;isSl;gain heure (19h);isTp;gain heure SL (18h) (80);isTp;isSl
29/03/06;161,086082;1;161,086082;1;0;159,730461;1;161,086082;1;0
30/03/06;-190,194421;0;-190,194421;0;0;-190,194421;0;-190,194421;0;0
31/03/06;217,899982;1;217,899982;1;0;224,31171;1;217,899982;1;0
01/04/06;0;0;0;0;0;0;0;0;0;0
02/04/06;0;0;0;0;0;0;0;0;0;0
03/04/06;-147,017642;0;-147,017642;0;0;-130,215626;0;-147,017642;0;0
04/04/06;137,194935;1;137,194935;1;0;142,805756;1;137,194935;1;0
05/04/06;-95,264393;0;-95,264393;0;0;-120,115974;0;-95,264393;0;0
06/04/06;-102,866548;0;-102,866548;0;0;-69,949253;0;-102,866548;0;0
07/04/06;167,986889;0;167,986889;0;0;196,667577;0;167,986889;0;0
08/04/06;0;0;0;0;0;0;0;0;0;0
09/04/06;0;0;0;0;0;0;0;0;0;0
10/04/06;12,362637;0;12,362637;0;0;-24,725275;0;12,362637;0;0
11/04/06;-12,283336;0;-12,283336;0;0;-36,850007;0;-12,283336;0;0
12/04/06;53,206003;0;53,206003;0;0;28,649386;0;53,206003;0;0
13/04/06;161,184749;1;161,184749;1;0;-135,523614;0;161,184749;1;0
14/04/06;-41,214453;0;-41,214453;0;0;-24,728672;0;-41,214453;0;0
15/04/06;0;0;0;0;0;0;0;0;0;0
16/04/06;0;0;0;0;0;0;0;0;0;0
17/04/06;-192,360164;0;-192,360164;0;0;-196,452933;0;-192,360164;0;0
18/04/06;20,294953;0;20,294953;0;0;8,117981;0;20,294953;0;0
19/04/06;-149,354144;0;-149,354144;0;0;-157,427341;0;-149,354144;0;0
20/04/06;164,079068;1;164,079068;1;0;165,172861;1;164,079068;1;0
21/04/06;108,781633;1;108,781633;1;0;-247,866721;0;108,781633;1;0
22/04/06;0;0;0;0;0;0;0;0;0;0
23/04/06;0;0;0;0;0;0;0;0;0;0
24/04/06;96,372641;0;96,372641;0;0;60,232901;0;96,372641;0;0
25/04/06;-24,148108;0;-24,148108;0;0;-4,024685;0;-24,148108;0;0
26/04/06;-333,959227;0;-240;0;1;-346,030043;0;-240;0;1
27/04/06;-151,41453;0;-151,41453;0;0;-175,322088;0;-151,41453;0;0
28/04/06;-186,853962;0;-186,853962;0;0;-234,561357;0;-186,853962;0;0
29/04/06;0;0;0;0;0;0;0;0;0;0
30/04/06;0;0;0;0;0;0;0;0;0;0
31/4/2006;0;0;0;0;0;0;0;0;0;0
01/05/06;-39,499671;0;-39,499671;0;0;-102,699144;0;-39,499671;0;0
02/05/06;171,75559;1;171,75559;1;0;180,79899;1;171,75559;1;0
03/05/06;-113,22228;0;-113,22228;0;0;-109,318064;0;-113,22228;0;0
04/05/06;170,122627;1;170,122627;1;0;175,605828;1;170,122627;1;0
05/05/06;171,606461;1;171,606461;1;0;176,717986;1;171,606461;1;0
06/05/06;0;0;0;0;0;0;0;0;0;0
07/05/06;0;0;0;0;0;0;0;0;0;0
08/05/06;73,872473;0;73,872473;0;0;124,416796;0;73,872473;0;0
09/05/06;177,712706;1;177,712706;1;0;177,823754;1;177,712706;1;0
10/05/06;-143,670722;0;-143,670722;0;0;-132,021745;0;-143,670722;0;0
11/05/06;195,300767;1;195,300767;1;0;197,900929;1;195,300767;1;0
12/05/06;154,499807;0;154,499807;0;0;208,574739;0;154,499807;0;0
13/05/06;0;0;0;0;0;0;0;0;0;0
14/05/06;0;0;0;0;0;0;0;0;0;0
15/05/06;-133,08977;0;-133,08977;0;0;-144,832985;0;-133,08977;0;0
16/05/06;197,790662;1;197,790662;1;0;220,496687;1;197,790662;1;0
17/05/06;338,761583;1;338,761583;1;0;382,332298;1;338,761583;1;0
18/05/06;227,406675;1;227,406675;1;0;261,985908;1;227,406675;1;0
19/05/06;380,764155;1;380,764155;1;0;-200,60312;0;380,764155;1;0
20/05/06;0;0;0;0;0;0;0;0;0;0
21/05/06;0;0;0;0;0;0;0;0;0;0
22/05/06;124,364803;0;124,364803;0;0;176,517786;0;124,364803;0;0
23/05/06;-51,751592;0;-51,751592;0;0;-123,407643;0;-51,751592;0;0
24/05/06;43,778191;0;43,778191;0;0;-71,637039;0;43,778191;0;0
25/05/06;-187,15158;0;-187,15158;0;0;-167,241837;0;-187,15158;0;0
26/05/06;51,363098;0;51,363098;0;0;47,41209;0;51,363098;0;0
27/05/06;0;0;0;0;0;0;0;0;0;0
28/05/06;0;0;0;0;0;0;0;0;0;0
29/05/06;-11,86396;0;-11,86396;0;0;-7,909307;0;-11,86396;0;0
30/05/06;35,377358;0;35,377358;0;0;-7,861635;0;35,377358;0;0
31/05/06;184,874738;1;184,874738;1;0;186,071447;1;184,874738;1;0
01/06/06;-16,029923;0;-16,029923;0;0;-40,074806;0;-16,029923;0;0
02/06/06;-144,481605;0;-144,481605;0;0;-192,64214;0;-144,481605;0;0
03/06/06;0;0;0;0;0;0;0;0;0;0
04/06/06;0;0;0;0;0;0;0;0;0;0
05/06/06;212,740959;1;212,740959;1;0;211,079859;1;212,740959;1;0
06/06/06;-212,73749;0;-212,73749;0;0;-276,960128;0;-212,73749;0;0
07/06/06;117,615249;0;117,615249;0;0;85,169663;0;117,615249;0;0
08/06/06;60,435133;0;60,435133;0;0;68,493151;0;60,435133;0;0
09/06/06;-152,794532;0;-152,794532;0;0;-148,773623;0;-152,794532;0;0
10/06/06;0;0;0;0;0;0;0;0;0;0
11/06/06;0;0;0;0;0;0;0;0;0;0
12/06/06;100,093421;0;100,093421;0;0;96,089684;0;100,093421;0;0
13/06/06;136,956727;1;136,956727;1;0;146,710372;1;136,956727;1;0
14/06/06;16,233766;0;16,233766;0;0;-12,175325;0;16,233766;0;0
15/06/06;81,103001;0;81,103001;0;0;77,047851;0;81,103001;0;0
16/06/06;231,867825;1;231,867825;1;0;232,867074;1;231,867825;1;0
17/06/06;0;0;0;0;0;0;0;0;0;0
18/06/06;0;0;0;0;0;0;0;0;0;0
19/06/06;8,133388;0;8,133388;0;0;-20,333469;0;8,133388;0;0
20/06/06;125,590817;0;125,590817;0;0;85,07765;0;125,590817;0;0
21/06/06;173,452155;1;173,452155;1;0;32,480715;0;173,452155;1;0
22/06/06;170,770926;1;170,770926;1;0;176,189391;1;170,770926;1;0
23/06/06;-114,379085;0;-114,379085;0;0;-73,529412;0;-114,379085;0;0
24/06/06;0;0;0;0;0;0;0;0;0;0
25/06/06;0;0;0;0;0;0;0;0;0;0
26/06/06;81,922447;0;81,922447;0;0;16,384489;0;81,922447;0;0
27/06/06;0;0;0;0;0;16,348774;0;0;0;0
28/06/06;-28,794735;0;-28,794735;0;0;-20,567668;0;-28,794735;0;0
29/06/06;-98,738343;0;-98,738343;0;0;-115,194734;0;-98,738343;0;0
30/06/06;8,07537;0;8,07537;0;0;12,113055;0;8,07537;0;0
31/6/2006;0;0;0;0;0;0;0;0;0;0
01/07/06;0;0;0;0;0;0;0;0;0;0
02/07/06;0;0;0;0;0;0;0;0;0;0
03/07/06;64,420883;0;64,420883;0;0;72,473493;0;64,420883;0;0
04/07/06;-32,240731;0;-32,240731;0;0;0;0;-32,240731;0;0
05/07/06;157,649061;1;157,649061;1;0;159,057405;1;157,649061;1;0
06/07/06;-157,681941;0;-157,681941;0;0;-153,638814;0;-157,681941;0;0
07/07/06;-136,345408;0;-136,345408;0;0;-148,375886;0;-136,345408;0;0
08/07/06;0;0;0;0;0;0;0;0;0;0
09/07/06;0;0;0;0;0;0;0;0;0;0
10/07/06;147,547521;0;147,547521;0;0;175,461917;0;147,547521;0;0
11/07/06;148,931204;1;148,931204;1;0;150,862915;1;148,931204;1;0
12/07/06;39,745628;0;39,745628;0;0;79,491256;0;39,745628;0;0
