tpa = 144;tpv=254;;;;;;;;;
;;;;;;;;;;
dP = 115;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl (210);isTp;isSl;gain heure (22h);isTp;gain heure SL (22h)(220);isTp;isSl
28/03/06;-343,586387;0;-343,586387;0;0;-358,311518;0;-358,311518;0;0
29/03/06;94,012195;1;94,012195;1;0;270;0;270;0;0
30/03/06;86,419061;1;86,419061;1;0;296,589224;0;296,589224;0;0
31/03/06;73,990813;1;73,990813;1;0;102,639296;0;102,639296;0;0
01/04/06;0;0;0;0;0;0;0;0;0;0
02/04/06;0;0;0;0;0;0;0;0;0;0
03/04/06;77,142114;1;77,142114;1;0;107,293343;1;107,293343;1;0
04/04/06;77,893996;1;77,893996;1;0;116,023224;1;116,023224;1;0
05/04/06;82,289707;1;82,289707;1;0;116,32399;1;116,32399;1;0
06/04/06;78,601902;1;78,601902;1;0;115,550799;1;115,550799;1;0
07/04/06;83,01806;1;83,01806;1;0;114,753832;1;114,753832;1;0
08/04/06;0;0;0;0;0;0;0;0;0;0
09/04/06;0;0;0;0;0;0;0;0;0;0
10/04/06;-83,579154;0;-83,579154;0;0;-24,582104;0;-24,582104;0;0
11/04/06;-14,727541;0;-14,727541;0;0;104,508662;1;104,508662;1;0
12/04/06;70,618243;1;70,618243;1;0;48,732943;0;48,732943;0;0
13/04/06;105,551137;1;105,551137;1;0;64,37914;1;64,37914;1;0
14/04/06;-33,975085;0;-33,975085;0;0;-24,267918;0;-24,267918;0;0
15/04/06;0;0;0;0;0;0;0;0;0;0
16/04/06;0;0;0;0;0;0;0;0;0;0
17/04/06;52,982951;1;52,982951;1;0;53,350354;1;53,350354;1;0
18/04/06;54,834999;1;54,834999;1;0;57,224252;1;57,224252;1;0
19/04/06;62,780914;1;62,780914;1;0;63,360708;1;63,360708;1;0
20/04/06;-359,451364;0;-359,451364;0;0;-349,992117;0;-349,992117;0;0
21/04/06;70,946654;1;70,946654;1;0;71,465207;1;71,465207;1;0
22/04/06;0;0;0;0;0;0;0;0;0;0
23/04/06;0;0;0;0;0;0;0;0;0;0
24/04/06;-221,698113;0;-221,698113;0;0;-349,056604;0;-349,056604;0;0
25/04/06;93,911599;1;93,911599;1;0;97,249468;1;97,249468;1;0
26/04/06;94,214619;1;94,214619;1;0;101,065527;1;101,065527;1;0
27/04/06;112,045848;1;112,045848;1;0;122,456389;1;122,456389;1;0
28/04/06;117,256087;1;117,256087;1;0;132,429449;1;132,429449;1;0
29/04/06;0;0;0;0;0;0;0;0;0;0
30/04/06;0;0;0;0;0;0;0;0;0;0
31/4/2006;0;0;0;0;0;0;0;0;0;0
01/05/06;111,709577;1;111,709577;1;0;136,698424;1;136,698424;1;0
02/05/06;107,82582;1;107,82582;1;0;131,484708;1;131,484708;1;0
03/05/06;109,353316;1;109,353316;1;0;129,348747;1;129,348747;1;0
04/05/06;100,479477;1;100,479477;1;0;113,084022;1;113,084022;1;0
05/05/06;100,358676;1;100,358676;1;0;110,225764;1;110,225764;1;0
06/05/06;0;0;0;0;0;0;0;0;0;0
07/05/06;0;0;0;0;0;0;0;0;0;0
08/05/06;-448,458424;0;-448,458424;0;0;-411,086889;0;-411,086889;0;0
09/05/06;-19,080935;0;-19,080935;0;0;57,242805;0;57,242805;0;0
10/05/06;38,289726;0;38,289726;0;0;-76,579451;0;-76,579451;0;0
11/05/06;100,513102;1;100,513102;1;0;101,317898;1;101,317898;1;0
12/05/06;-61,845861;0;-61,845861;0;0;-104,662226;0;-104,662226;0;0
