tpa = 304;tpv=362;;;;;;;;;
;;;;;;;;;;
dP = -112;sl=10;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (19h);isTp;gain heure SL (18h);isTp;isSl
03/04/06;-196,729476;0;-30;0;1;-201,709969;0;-30;0;1
04/04/06;-331,546392;0;-30;0;1;-319,175258;0;-30;0;1
05/04/06;7,331378;0;-30;0;1;-31,769306;0;-30;0;1
06/04/06;139,636057;1;-30;0;1;146,642733;1;-30;0;1
07/04/06;160,697964;1;-30;0;1;168,689336;1;-30;0;1
08/04/06;0;0;0;0;0;0;0;0;0;0
09/04/06;0;0;0;0;0;0;0;0;0;0
10/04/06;61,901618;0;-30;0;1;89,138329;0;-30;0;1
11/04/06;7,419009;0;-30;0;1;-2,473003;0;-30;0;1
12/04/06;125,32679;1;125,32679;1;0;134,648166;1;125,32679;1;0
13/04/06;27,234464;0;-30;0;1;29,710324;0;-30;0;1
14/04/06;9,909166;0;9,909166;0;0;-9,909166;0;9,909166;0;0
15/04/06;0;0;0;0;0;0;0;0;0;0
16/04/06;0;0;0;0;0;0;0;0;0;0
17/04/06;-211,787884;0;-30;0;1;-231,489082;0;-30;0;1
18/04/06;-90,693684;0;-30;0;1;-125,010213;0;-30;0;1
19/04/06;109,105072;1;-30;0;1;111,785924;1;-30;0;1
20/04/06;115,059652;1;-30;0;1;117,245183;1;-30;0;1
21/04/06;-119,599707;0;-30;0;1;-100,073224;0;-30;0;1
22/04/06;0;0;0;0;0;0;0;0;0;0
23/04/06;0;0;0;0;0;0;0;0;0;0
24/04/06;26,642984;0;-30;0;1;-19,376716;0;-30;0;1
25/04/06;-84,800517;0;-30;0;1;-62,99467;0;-30;0;1
26/04/06;-111,111111;0;-30;0;1;-103,864734;0;-30;0;1
27/04/06;-183,073711;0;-30;0;1;-214,388951;0;-30;0;1
28/04/06;-215,311005;0;-30;0;1;-212,91866;0;-30;0;1
29/04/06;0;0;0;0;0;0;0;0;0;0
30/04/06;0;0;0;0;0;0;0;0;0;0
31/4/2006;0;0;0;0;0;0;0;0;0;0
01/05/06;54,636155;0;-30;0;1;26,130335;0;-30;0;1
02/05/06;-188,60417;0;-30;0;1;-112,207544;0;-30;0;1
03/05/06;45,034368;0;45,034368;0;0;40,293909;0;45,034368;0;0
04/05/06;-190,385531;0;-30;0;1;-188,005712;0;-30;0;1
05/05/06;-120,624409;0;-30;0;1;-141,911069;0;-30;0;1
06/05/06;0;0;0;0;0;0;0;0;0;0
07/05/06;0;0;0;0;0;0;0;0;0;0
08/05/06;61,190868;0;-30;0;1;77,665333;0;-30;0;1
09/05/06;-165,615142;0;-30;0;1;-182,176656;0;-30;0;1
10/05/06;-28,153593;0;-30;0;1;0;0;-30;0;1
11/05/06;-270,906949;0;-30;0;1;-303,886926;0;-30;0;1
12/05/06;-13,980583;0;-30;0;1;-44,271845;0;-30;0;1
13/05/06;0;0;0;0;0;0;0;0;0;0
14/05/06;0;0;0;0;0;0;0;0;0;0
15/05/06;168,061143;1;168,061143;1;0;173,795927;1;168,061143;1;0
16/05/06;-2,340824;0;-30;0;1;-16,385768;0;-30;0;1
17/05/06;151,167689;1;-30;0;1;151,784499;1;-30;0;1
18/05/06;-65,86169;0;-30;0;1;-183,471852;0;-30;0;1
19/05/06;179,279355;1;179,279355;1;0;182,843046;1;179,279355;1;0
20/05/06;0;0;0;0;0;0;0;0;0;0
21/05/06;0;0;0;0;0;0;0;0;0;0
22/05/06;-342,411839;0;-30;0;1;-311,712846;0;-30;0;1
23/05/06;32,659409;0;32,659409;0;0;20,995334;0;32,659409;0;0
24/05/06;189,883138;1;-30;0;1;191,533117;1;-30;0;1
25/05/06;16,428069;0;-30;0;1;35,203004;0;-30;0;1
26/05/06;164,27263;1;-30;0;1;162,186093;1;-30;0;1
27/05/06;0;0;0;0;0;0;0;0;0;0
28/05/06;0;0;0;0;0;0;0;0;0;0
29/05/06;25,882353;0;-30;0;1;0;0;-30;0;1
30/05/06;-77,114815;0;-30;0;1;-112,167004;0;-30;0;1
31/05/06;121,875138;1;121,875138;1;0;125,229282;1;121,875138;1;0
01/06/06;110,759112;1;-30;0;1;-91,592297;0;-30;0;1
02/06/06;-241,217799;0;-30;0;1;-302,107728;0;-30;0;1
03/06/06;0;0;0;0;0;0;0;0;0;0
