tpa = 238;tpv=469;;;;;;;;;
;;;;;;;;;;
dP = -53;sl=70;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (23h);isTp;gain heure SL (23h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;92,598547;0;59,262891;1;0;86,811138;0;65,094932;1;0
04/01/06;77,329553;0;67,786796;1;0;86,995747;0;74,732934;1;0
05/01/06;42,643923;0;42,643923;0;0;52,335724;0;52,335724;0;0
06/01/06;64,044508;0;64,044508;0;0;48,518566;0;48,518566;0;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;-21,392454;0;-21,392454;0;0;3,889537;0;3,889537;0;0
10/01/06;-40,834846;0;-40,834846;0;0;-48,612912;0;-48,612912;0;0
11/01/06;3,881736;0;3,881736;0;0;-32,99476;0;-32,99476;0;0
12/01/06;-3,87647;0;-3,87647;0;0;9,691175;0;9,691175;0;0
13/01/06;-25,192171;0;-25,192171;0;0;-32,943608;0;-32,943608;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;-17,417107;0;-17,417107;0;0;-17,417107;0;-17,417107;0;0
17/01/06;7,741935;0;7,741935;0;0;-5,806452;0;-5,806452;0;0
18/01/06;-29,064135;0;-29,064135;0;0;-36,814571;0;-36,814571;0;0
19/01/06;-27,061856;0;-27,061856;0;0;-32,860825;0;-32,860825;0;0
20/01/06;3,864236;0;3,864236;0;0;69,556257;0;69,556257;0;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;29,051001;0;29,051001;0;0;38,734668;0;38,734668;0;0
24/01/06;11,627156;0;11,627156;0;0;-9,689297;0;-9,689297;0;0
25/01/06;32,898981;0;32,898981;0;0;30,963747;0;30,963747;0;0
26/01/06;-44,536242;0;-44,536242;0;0;-23,2363;0;-23,2363;0;0
27/01/06;-32,882012;0;-32,882012;0;0;-56,092843;0;-56,092843;0;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;-50,21567;0;-50,21567;0;0;-54,078414;0;-54,078414;0;0
31/01/06;-3,86001;0;-3,86001;0;0;13,510036;0;13,510036;0;0
01/02/06;17,376754;0;17,376754;0;0;-38,615008;0;-38,615008;0;0
02/02/06;19,283924;0;19,283924;0;0;5,785177;0;5,785177;0;0
03/02/06;-11,571098;0;-11,571098;0;0;-26,999229;0;-26,999229;0;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;-28,920308;0;-28,920308;0;0;-23,136247;0;-23,136247;0;0
