tpa = 144, tpv=254;;;;;;;;;;
;;;;;;;;;;
dP = 115, sl=220;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (19h);isTp;gain heure SL (19h);isTp;isSl
09/02/06;-22,120631;0;-22,120631;0;0;17,696505;0;0;0;0
10/02/06;-52,886734;0;-52,886734;0;0;-52,886734;0;0;0;0
11/02/06;0;0;0;0;0;0;0;0;0;0
12/02/06;0;0;0;0;0;0;0;0;0;0
13/02/06;22,078304;0;22,078304;0;0;-4,415661;0;0;0;0
14/02/06;-17,793594;0;-17,793594;0;0;4,448399;0;0;0;0
15/02/06;-53,128689;0;-53,128689;0;0;-115,112161;0;0;0;0
16/02/06;-244,807122;0;-244,807122;0;0;-218,10089;0;0;0;0
17/02/06;72,072072;0;72,072072;0;0;36,036036;0;0;0;0
18/02/06;0;0;0;0;0;0;0;0;0;0
19/02/06;0;0;0;0;0;0;0;0;0;0
20/02/06;13,436847;0;13,436847;0;0;35,831592;0;0;0;0
21/02/06;-162,137817;0;-162,137817;0;0;-211,679928;0;0;0;0
22/02/06;-22,737608;0;-22,737608;0;0;-22,737608;0;0;0;0
23/02/06;189,790493;1;189,790493;1;0;150,387361;0;0;0;0
24/02/06;45,296693;0;45,296693;0;0;36,237355;0;0;0;0
25/02/06;0;0;0;0;0;0;0;0;0;0
26/02/06;0;0;0;0;0;0;0;0;0;0
27/02/06;132,138518;0;132,138518;0;0;82,017011;0;0;0;0
28/02/06;168,283808;0;168,283808;0;0;163,735597;0;0;0;0
29/2/2006;0;0;0;0;0;0;0;0;0;0
30/2/2006;0;0;0;0;0;0;0;0;0;0
31/2/2006;0;0;0;0;0;0;0;0;0;0
01/03/06;200,395918;1;200,395918;1;0;203,831341;1;0;0;0
02/03/06;-54,029716;0;-54,029716;0;0;22,512382;0;0;0;0
03/03/06;-49,482681;0;-49,482681;0;0;-89,968511;0;0;0;0
04/03/06;0;0;0;0;0;0;0;0;0;0
05/03/06;0;0;0;0;0;0;0;0;0;0
06/03/06;-387,503755;0;-387,503755;0;0;-410,033043;0;0;0;0
07/03/06;-124,404853;0;-124,404853;0;0;-115,189679;0;0;0;0
08/03/06;-133,41512;0;-133,41512;0;0;-32,20365;0;0;0;0
09/03/06;-92,250923;0;-92,250923;0;0;-166,051661;0;0;0;0
10/03/06;-213,490099;0;-213,490099;0;0;-264,542079;0;0;0;0
11/03/06;0;0;0;0;0;0;0;0;0;0
12/03/06;0;0;0;0;0;0;0;0;0;0
13/03/06;28,089888;0;28,089888;0;0;56,179775;0;0;0;0
14/03/06;155,562539;0;155,562539;0;0;204,653234;1;0;0;0
15/03/06;102,61194;0;102,61194;0;0;144,589552;0;0;0;0
16/03/06;-32,822757;0;-32,822757;0;0;-65,645514;0;0;0;0
17/03/06;-28,355388;0;-28,355388;0;0;-4,725898;0;0;0;0
18/03/06;0;0;0;0;0;0;0;0;0;0
19/03/06;0;0;0;0;0;0;0;0;0;0
20/03/06;-38,277512;0;-38,277512;0;0;-90,909091;0;0;0;0
21/03/06;53,037608;0;53,037608;0;0;81,967213;0;0;0;0
