tpa = 404;tpv=470;;;;;;;;;
;;;;;;;;;;
dP = -23;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl(40);isTp;isSl;gain heure (18h);isTp;gain heure SL (18h)(40);isTp;isSl
08/02/06;21,853147;0;21,853147;0;0;21,853147;0;21,853147;0;0
09/02/06;-4,366177;0;-4,366177;0;0;-4,366177;0;-4,366177;0;0
10/02/06;99,584959;1;99,584959;1;0;99,584959;1;99,584959;1;0
11/02/06;0;0;0;0;0;0;0;0;0;0
12/02/06;0;0;0;0;0;0;0;0;0;0
13/02/06;26,338894;0;26,338894;0;0;26,338894;0;26,338894;0;0
14/02/06;-118,490345;0;-120;0;1;-118,490345;0;-120;0;1
15/02/06;101,082683;1;101,082683;1;0;101,082683;1;101,082683;1;0
16/02/06;-52,662376;0;-52,662376;0;0;-52,662376;0;-52,662376;0;0
17/02/06;21,907405;0;21,907405;0;0;21,907405;0;21,907405;0;0
18/02/06;0;0;0;0;0;0;0;0;0;0
19/02/06;0;0;0;0;0;0;0;0;0;0
20/02/06;35,005834;0;35,005834;0;0;35,005834;0;35,005834;0;0
21/02/06;26,327337;0;26,327337;0;0;26,327337;0;26,327337;0;0
22/02/06;-21,965149;0;-21,965149;0;0;-21,965149;0;-21,965149;0;0
23/02/06;61,565523;0;61,565523;0;0;61,565523;0;61,565523;0;0
24/02/06;-39,694208;0;-39,694208;0;0;-39,694208;0;-39,694208;0;0
25/02/06;0;0;0;0;0;0;0;0;0;0
26/02/06;0;0;0;0;0;0;0;0;0;0
27/02/06;-17,618558;0;-17,618558;0;0;-17,618558;0;-17,618558;0;0
28/02/06;64,166206;1;64,166206;1;0;64,166206;1;64,166206;1;0
29/2/2006;0;0;0;0;0;0;0;0;0;0
30/2/2006;0;0;0;0;0;0;0;0;0;0
31/2/2006;0;0;0;0;0;0;0;0;0;0
01/03/06;-22,039377;0;-22,039377;0;0;-22,039377;0;-22,039377;0;0
02/03/06;-202,405397;0;-120;0;1;-202,405397;0;-120;0;1
03/03/06;84,038111;1;84,038111;1;0;84,038111;1;84,038111;1;0
04/03/06;0;0;0;0;0;0;0;0;0;0
05/03/06;0;0;0;0;0;0;0;0;0;0
06/03/06;-17,497813;0;-17,497813;0;0;-17,497813;0;-17,497813;0;0
07/03/06;21,888224;0;21,888224;0;0;21,888224;0;21,888224;0;0
08/03/06;-92,02454;0;-120;0;1;-92,02454;0;-120;0;1
09/03/06;47,98604;0;47,98604;0;0;47,98604;0;47,98604;0;0
10/03/06;-104,895105;0;-120;0;1;-104,895105;0;-120;0;1
11/03/06;0;0;0;0;0;0;0;0;0;0
12/03/06;0;0;0;0;0;0;0;0;0;0
13/03/06;106,874361;1;106,874361;1;0;106,874361;1;106,874361;1;0
14/03/06;86,918731;0;86,918731;0;0;86,918731;0;86,918731;0;0
15/03/06;-47,881602;0;-47,881602;0;0;-47,881602;0;-47,881602;0;0
16/03/06;-134,821687;0;-120;0;1;-134,821687;0;-120;0;1
17/03/06;-34,607066;0;-34,607066;0;0;-34,607066;0;-34,607066;0;0
18/03/06;0;0;0;0;0;0;0;0;0;0
19/03/06;0;0;0;0;0;0;0;0;0;0
20/03/06;12,97765;0;12,97765;0;0;12,97765;0;12,97765;0;0
21/03/06;88,996029;1;88,996029;1;0;88,996029;1;88,996029;1;0
22/03/06;30,390738;0;30,390738;0;0;30,390738;0;30,390738;0;0
23/03/06;88,328533;1;88,328533;1;0;88,328533;1;88,328533;1;0
24/03/06;4,341534;0;4,341534;0;0;4,341534;0;4,341534;0;0
25/03/06;0;0;0;0;0;0;0;0;0;0
26/03/06;0;0;0;0;0;0;0;0;0;0
27/03/06;65,264685;0;65,264685;0;0;65,264685;0;65,264685;0;0
28/03/06;-82,776648;0;-82,776648;0;0;-82,776648;0;-82,776648;0;0
29/03/06;-139,130435;0;-120;0;1;-139,130435;0;-120;0;1
30/03/06;-47,529886;0;-47,529886;0;0;-47,529886;0;-47,529886;0;0
31/03/06;-47,338976;0;-47,338976;0;0;-47,338976;0;-47,338976;0;0
01/04/06;0;0;0;0;0;0;0;0;0;0
02/04/06;0;0;0;0;0;0;0;0;0;0
03/04/06;17,199369;0;17,199369;0;0;17,199369;0;17,199369;0;0
04/04/06;-25,799054;0;-25,799054;0;0;-25,799054;0;-25,799054;0;0
05/04/06;-159,071367;0;-120;0;1;-159,071367;0;-120;0;1
06/04/06;110,764854;1;110,764854;1;0;110,764854;1;110,764854;1;0
07/04/06;-34,453058;0;-34,453058;0;0;-34,453058;0;-34,453058;0;0
08/04/06;0;0;0;0;0;0;0;0;0;0
09/04/06;0;0;0;0;0;0;0;0;0;0
10/04/06;30,259366;0;30,259366;0;0;30,259366;0;30,259366;0;0
11/04/06;60,353499;0;60,353499;0;0;60,353499;0;60,353499;0;0
12/04/06;121,270804;1;121,270804;1;0;121,270804;1;121,270804;1;0
13/04/06;-4,342791;0;-4,342791;0;0;-4,342791;0;-4,342791;0;0
14/04/06;-4,339022;0;-4,339022;0;0;-4,339022;0;-4,339022;0;0
15/04/06;0;0;0;0;0;0;0;0;0;0
16/04/06;0;0;0;0;0;0;0;0;0;0
17/04/06;0;0;0;0;0;0;0;0;0;0
18/04/06;4,340906;0;4,340906;0;0;4,340906;0;4,340906;0;0
19/04/06;73,531879;1;73,531879;1;0;73,531879;1;73,531879;1;0
20/04/06;-91,251448;0;-91,251448;0;0;-91,251448;0;-91,251448;0;0
21/04/06;-69,434399;0;-69,434399;0;0;-69,434399;0;-69,434399;0;0
22/04/06;0;0;0;0;0;0;0;0;0;0
23/04/06;0;0;0;0;0;0;0;0;0;0
24/04/06;-51,98556;0;-51,98556;0;0;-51,98556;0;-51,98556;0;0
25/04/06;-60,588575;0;-60,588575;0;0;-60,588575;0;-60,588575;0;0
26/04/06;-30,194105;0;-30,194105;0;0;-30,194105;0;-30,194105;0;0
27/04/06;91,353823;1;91,353823;1;0;91,353823;1;91,353823;1;0
28/04/06;91,71909;1;91,71909;1;0;91,71909;1;91,71909;1;0
29/04/06;0;0;0;0;0;0;0;0;0;0
30/04/06;0;0;0;0;0;0;0;0;0;0
31/4/2006;0;0;0;0;0;0;0;0;0;0
01/05/06;-99,710983;0;-120;0;1;-99,710983;0;-120;0;1
02/05/06;110,9471;1;110,9471;1;0;110,9471;1;110,9471;1;0
03/05/06;-17,495262;0;-17,495262;0;0;-17,495262;0;-17,495262;0;0
04/05/06;142,757398;1;142,757398;1;0;142,757398;1;142,757398;1;0
05/05/06;-4,378284;0;-4,378284;0;0;-4,378284;0;-4,378284;0;0
06/05/06;0;0;0;0;0;0;0;0;0;0
07/05/06;0;0;0;0;0;0;0;0;0;0
08/05/06;13,140604;0;13,140604;0;0;13,140604;0;13,140604;0;0
09/05/06;-43,898156;0;-43,898156;0;0;-43,898156;0;-43,898156;0;0
10/05/06;-114,068441;0;-120;0;1;-114,068441;0;-120;0;1
11/05/06;107,71743;1;107,71743;1;0;107,71743;1;107,71743;1;0
12/05/06;112,289297;1;112,289297;1;0;112,289297;1;112,289297;1;0
13/05/06;0;0;0;0;0;0;0;0;0;0
14/05/06;0;0;0;0;0;0;0;0;0;0
15/05/06;30,80534;0;30,80534;0;0;30,80534;0;30,80534;0;0
16/05/06;-30,850595;0;-30,850595;0;0;-30,850595;0;-30,850595;0;0
17/05/06;94,974745;1;94,974745;1;0;94,974745;1;94,974745;1;0
18/05/06;13,272379;0;13,272379;0;0;13,272379;0;13,272379;0;0
19/05/06;-35,346097;0;-120;0;1;-35,346097;0;-120;0;1
20/05/06;0;0;0;0;0;0;0;0;0;0
21/05/06;0;0;0;0;0;0;0;0;0;0
22/05/06;-8,805401;0;-8,805401;0;0;-8,805401;0;-8,805401;0;0
23/05/06;-70,422535;0;-70,422535;0;0;-70,422535;0;-70,422535;0;0
