!!!! ATTENTION !!!! : La journée affiche par default une vente

strategie: MAX
dP= -112, tpa= 304, tpv=362

gain total;meilleur slA;meilleur slV
15686.91;210;10

date;type;gain;isSl;isTp
23/6/2006;V;117.51;0;1
24/6/2006;V;0.00;0;0
25/6/2006;V;0.00;0;0
26/6/2006;V;-30.00;1;0
27/6/2006;V;-30.00;1;0
28/6/2006;V;113.42;0;1
29/6/2006;V;26.31;0;0
30/6/2006;V;-30.00;1;0
31/6/2006;V;0.00;0;0
1/7/2006;V;0.00;0;0
2/7/2006;V;0.00;0;0
3/7/2006;V;-30.00;1;0
4/7/2006;V;49.15;0;0
5/7/2006;V;-30.00;1;0
6/7/2006;V;-30.00;1;0
7/7/2006;V;-30.00;1;0
8/7/2006;V;0.00;0;0
9/7/2006;V;0.00;0;0
10/7/2006;V;-30.00;1;0
11/7/2006;V;-30.00;1;0
12/7/2006;V;129.05;0;1
13/7/2006;V;-30.00;1;0
14/7/2006;V;-30.00;1;0
15/7/2006;V;0.00;0;0
16/7/2006;V;0.00;0;0
17/7/2006;V;130.78;0;1
18/7/2006;V;-30.00;1;0
19/7/2006;V;-30.00;1;0
20/7/2006;V;-30.00;1;0
21/7/2006;V;-30.00;1;0
22/7/2006;V;0.00;0;0
23/7/2006;V;0.00;0;0
24/7/2006;V;9.50;0;0
25/7/2006;V;121.79;0;1
26/7/2006;V;-30.00;1;0
27/7/2006;V;-30.00;1;0
28/7/2006;V;-30.00;1;0
29/7/2006;V;0.00;0;0
30/7/2006;V;0.00;0;0
31/7/2006;V;-30.00;1;0
1/8/2006;V;-30.00;1;0
2/8/2006;V;53.81;0;0
3/8/2006;V;-30.00;1;0
4/8/2006;V;-30.00;1;0
5/8/2006;V;0.00;0;0
6/8/2006;V;0.00;0;0
7/8/2006;V;-30.00;1;0
8/8/2006;V;-30.00;1;0
9/8/2006;V;-30.00;1;0
10/8/2006;V;-30.00;1;0
11/8/2006;V;-30.00;1;0
12/8/2006;V;0.00;0;0
13/8/2006;V;0.00;0;0
14/8/2006;V;90.16;0;1
15/8/2006;V;-30.00;1;0
16/8/2006;V;-30.00;1;0
17/8/2006;V;-30.00;1;0
18/8/2006;V;114.20;0;1
19/8/2006;V;0.00;0;0
20/8/2006;V;0.00;0;0
21/8/2006;V;-30.00;1;0
22/8/2006;V;116.13;0;1
23/8/2006;V;-30.00;1;0
24/8/2006;V;-30.00;1;0
25/8/2006;V;-30.00;1;0
26/8/2006;V;0.00;0;0
27/8/2006;V;0.00;0;0
28/8/2006;V;-30.00;1;0
29/8/2006;V;111.24;0;1
30/8/2006;V;39.71;0;0
31/8/2006;V;-30.00;1;0
1/9/2006;V;-30.00;1;0
2/9/2006;V;0.00;0;0
3/9/2006;V;0.00;0;0
4/9/2006;V;-30.00;1;0
5/9/2006;V;58.42;0;0
6/9/2006;V;-30.00;1;0
7/9/2006;V;-30.00;1;0
8/9/2006;V;113.57;0;1
9/9/2006;V;0.00;0;0
10/9/2006;V;0.00;0;0
11/9/2006;V;-30.00;1;0
12/9/2006;V;-30.00;1;0
13/9/2006;V;-30.00;1;0
14/9/2006;V;-30.00;1;0
15/9/2006;V;114.37;0;1
16/9/2006;V;0.00;0;0
17/9/2006;V;0.00;0;0
18/9/2006;V;-30.00;1;0
19/9/2006;V;103.31;0;1
20/9/2006;V;-30.00;1;0
21/9/2006;V;-30.00;1;0
22/9/2006;V;-30.00;1;0
23/9/2006;V;0.00;0;0
24/9/2006;V;0.00;0;0
25/9/2006;V;85.69;0;1
26/9/2006;V;-30.00;1;0
27/9/2006;V;-30.00;1;0
28/9/2006;V;87.97;0;1
29/9/2006;V;92.49;0;1
30/9/2006;V;0.00;0;0
31/9/2006;V;0.00;0;0
1/10/2006;V;0.00;0;0
2/10/2006;V;-30.00;1;0
3/10/2006;V;61.15;0;0
4/10/2006;V;85.47;0;1
5/10/2006;V;-30.00;1;0
6/10/2006;V;-30.00;1;0
7/10/2006;V;0.00;0;0
8/10/2006;V;0.00;0;0
9/10/2006;V;-30.00;1;0
10/10/2006;V;93.54;0;1
11/10/2006;V;-30.00;1;0
12/10/2006;V;-30.00;1;0
13/10/2006;V;69.63;0;1
14/10/2006;V;0.00;0;0
15/10/2006;V;0.00;0;0
16/10/2006;V;-30.00;1;0
17/10/2006;V;-30.00;1;0
18/10/2006;V;73.14;0;1
19/10/2006;V;-30.00;1;0
20/10/2006;V;35.63;0;0
21/10/2006;V;0.00;0;0
22/10/2006;V;0.00;0;0
23/10/2006;V;91.57;0;1
24/10/2006;V;-30.00;1;0
25/10/2006;V;-30.00;1;0
26/10/2006;V;-30.00;1;0
27/10/2006;V;-30.00;1;0
28/10/2006;V;0.00;0;0
29/10/2006;V;0.00;0;0
30/10/2006;V;7.07;0;0
31/10/2006;V;-30.00;1;0
1/11/2006;V;-30.00;1;0
2/11/2006;V;-30.00;1;0
3/11/2006;V;70.09;0;1
4/11/2006;V;0.00;0;0
5/11/2006;V;0.00;0;0
6/11/2006;V;-11.80;0;0
7/11/2006;V;-30.00;1;0
8/11/2006;V;-30.00;1;0
9/11/2006;V;-30.00;1;0
10/11/2006;V;-30.00;1;0
11/11/2006;V;0.00;0;0
12/11/2006;V;0.00;0;0
13/11/2006;V;87.68;0;1
14/11/2006;V;-30.00;1;0
15/11/2006;V;109.86;0;1
16/11/2006;V;-30.00;1;0
17/11/2006;V;-30.00;1;0
18/11/2006;V;0.00;0;0
19/11/2006;V;0.00;0;0
20/11/2006;V;-30.00;1;0
21/11/2006;V;4.68;0;0
22/11/2006;V;-30.00;1;0
23/11/2006;V;-30.00;1;0
24/11/2006;V;-30.00;1;0
25/11/2006;V;0.00;0;0
26/11/2006;V;0.00;0;0
27/11/2006;V;85.53;0;1
28/11/2006;V;-30.00;1;0
29/11/2006;V;81.18;0;1
30/11/2006;V;-30.00;1;0
31/11/2006;V;0.00;0;0
1/12/2006;V;84.40;0;1
2/12/2006;V;0.00;0;0
3/12/2006;V;0.00;0;0
4/12/2006;V;-30.00;1;0
5/12/2006;V;-30.00;1;0
6/12/2006;V;99.77;0;1
7/12/2006;V;58.55;0;0
8/12/2006;V;-30.00;1;0
9/12/2006;V;0.00;0;0
10/12/2006;V;0.00;0;0
11/12/2006;V;-30.00;1;0
12/12/2006;V;-30.00;1;0
13/12/2006;V;98.10;0;1
14/12/2006;V;-30.00;1;0
15/12/2006;V;120.61;0;1
16/12/2006;V;0.00;0;0
17/12/2006;V;0.00;0;0
18/12/2006;V;-30.00;1;0
19/12/2006;V;-30.00;1;0
20/12/2006;V;-30.00;1;0
21/12/2006;V;133.84;0;1
22/12/2006;V;127.86;0;1
23/12/2006;V;0.00;0;0
24/12/2006;V;0.00;0;0
25/12/2006;V;0.00;0;0
26/12/2006;V;4.57;0;0
27/12/2006;V;-30.00;1;0
28/12/2006;V;-30.00;1;0
29/12/2006;V;-30.00;1;0
30/12/2006;V;0.00;0;0
31/12/2006;V;0.00;0;0
1/1/2007;V;0.00;0;0
2/1/2007;V;-30.00;1;0
3/1/2007;V;70.28;0;1
4/1/2007;V;95.78;0;1
5/1/2007;V;99.61;0;1
6/1/2007;V;0.00;0;0
7/1/2007;V;0.00;0;0
8/1/2007;V;-30.00;1;0
9/1/2007;V;107.60;0;1
10/1/2007;V;116.72;0;1
11/1/2007;V;-30.00;1;0
12/1/2007;V;-30.00;1;0
13/1/2007;V;0.00;0;0
14/1/2007;V;0.00;0;0
15/1/2007;V;30.12;0;0
16/1/2007;V;-30.00;1;0
17/1/2007;V;-30.00;1;0
18/1/2007;V;102.34;0;1
19/1/2007;V;98.27;0;1
20/1/2007;V;0.00;0;0
21/1/2007;V;0.00;0;0
22/1/2007;V;99.57;0;1
23/1/2007;V;-30.00;1;0
24/1/2007;V;116.07;0;1
25/1/2007;V;-30.00;1;0
26/1/2007;V;117.87;0;1
27/1/2007;V;0.00;0;0
28/1/2007;V;0.00;0;0
29/1/2007;V;-30.00;1;0
30/1/2007;V;-30.00;1;0
31/1/2007;V;-30.00;1;0
1/2/2007;V;-30.00;1;0
2/2/2007;V;-30.00;1;0
3/2/2007;V;0.00;0;0
4/2/2007;V;0.00;0;0
5/2/2007;V;-30.00;1;0
6/2/2007;V;-30.00;1;0
7/2/2007;V;-30.00;1;0
8/2/2007;V;-30.00;1;0
9/2/2007;V;9.23;0;0
10/2/2007;V;0.00;0;0
11/2/2007;V;0.00;0;0
12/2/2007;V;88.49;0;1
13/2/2007;V;-30.00;1;0
14/2/2007;V;-30.00;1;0
15/2/2007;V;-30.00;1;0
16/2/2007;V;9.13;0;0
17/2/2007;V;0.00;0;0
18/2/2007;V;0.00;0;0
19/2/2007;V;15.96;0;0
20/2/2007;V;59.26;0;0
21/2/2007;V;65.86;0;1
22/2/2007;V;-30.00;1;0
23/2/2007;V;-30.00;1;0
24/2/2007;V;0.00;0;0
25/2/2007;V;0.00;0;0
26/2/2007;V;45.52;0;0
27/2/2007;V;-30.00;1;0
28/2/2007;V;-30.00;1;0
29/2/2007;V;0.00;0;0
30/2/2007;V;0.00;0;0
31/2/2007;V;0.00;0;0
1/3/2007;V;86.76;0;1
2/3/2007;V;-2.28;0;0
3/3/2007;V;0.00;0;0
4/3/2007;V;0.00;0;0
5/3/2007;V;88.06;0;1
6/3/2007;V;41.14;0;0
7/3/2007;V;-30.00;1;0
8/3/2007;V;90.60;0;1
9/3/2007;V;-30.00;1;0
10/3/2007;V;0.00;0;0
11/3/2007;V;0.00;0;0
12/3/2007;V;-30.00;1;0
13/3/2007;V;-30.00;1;0
14/3/2007;V;-30.00;1;0
15/3/2007;V;-30.00;1;0
16/3/2007;V;-30.00;1;0
17/3/2007;V;0.00;0;0
18/3/2007;V;0.00;0;0
19/3/2007;V;-30.00;1;0
20/3/2007;V;4.51;0;0
21/3/2007;V;29.29;0;0
22/3/2007;V;60.13;0;1
23/3/2007;V;57.62;0;1
24/3/2007;V;0.00;0;0
25/3/2007;V;0.00;0;0
26/3/2007;V;-30.00;1;0
27/3/2007;V;-30.00;1;0
28/3/2007;V;-30.00;1;0
