date;gain;minOuverture;minFermeture;isSl;isTp
28/8/6;-30.00;0;206;1;0
29/8/6;111.24;0;619;0;1
30/8/6;39.71;0;0;0;0
31/8/6;-30.00;0;202;1;0
1/9/6;-30.00;0;286;1;0
4/9/6;-30.00;0;379;1;0
5/9/6;58.42;0;0;0;0
6/9/6;-30.00;0;230;1;0
7/9/6;-30.00;0;192;1;0
8/9/6;113.57;0;517;0;1
11/9/6;-30.00;0;243;1;0
12/9/6;-30.00;0;223;1;0
13/9/6;-30.00;0;709;1;0
14/9/6;-30.00;0;348;1;0
15/9/6;114.37;0;502;0;1
18/9/6;-30.00;0;540;1;0
19/9/6;103.31;0;258;0;1
20/9/6;-30.00;0;602;1;0
21/9/6;-30.00;0;220;1;0
22/9/6;-30.00;0;186;1;0
25/9/6;85.69;0;301;0;1
26/9/6;-30.00;0;248;1;0
27/9/6;-30.00;0;291;1;0
28/9/6;87.97;0;627;0;1
29/9/6;92.49;0;519;0;1
2/10/6;-30.00;0;333;1;0
3/10/6;61.15;0;0;0;0
4/10/6;85.47;0;285;0;1
5/10/6;-30.00;0;486;1;0
6/10/6;-30.00;0;510;1;0
9/10/6;-30.00;0;269;1;0
10/10/6;93.54;0;274;0;1
11/10/6;-30.00;0;206;1;0
12/10/6;-30.00;0;185;1;0
13/10/6;69.63;0;512;0;1
16/10/6;-30.00;0;248;1;0
17/10/6;-30.00;0;560;1;0
18/10/6;73.14;0;540;0;1
19/10/6;-30.00;0;215;1;0
20/10/6;35.63;0;0;0;0
23/10/6;91.57;0;360;0;1
24/10/6;-30.00;0;285;1;0
25/10/6;-30.00;0;241;1;0
26/10/6;-30.00;0;182;1;0
27/10/6;-30.00;0;429;1;0
30/10/6;7.07;0;0;0;0
31/10/6;-30.00;0;507;1;0
1/11/6;-30.00;0;601;1;0
2/11/6;-30.00;0;338;1;0
3/11/6;70.09;0;511;0;1
6/11/6;-11.80;0;0;0;0
7/11/6;-30.00;0;271;1;0
8/11/6;-30.00;0;228;1;0
9/11/6;-30.00;0;484;1;0
10/11/6;-30.00;0;206;1;0
13/11/6;87.68;0;587;0;1
14/11/6;-30.00;0;231;1;0
15/11/6;109.86;0;516;0;1
16/11/6;-30.00;0;510;1;0
17/11/6;-30.00;0;193;1;0
20/11/6;-30.00;0;296;1;0
21/11/6;4.68;0;0;0;0
22/11/6;-30.00;0;430;1;0
23/11/6;-30.00;0;245;1;0
24/11/6;-30.00;0;205;1;0
27/11/6;85.53;0;238;0;1
28/11/6;-30.00;0;186;1;0
29/11/6;81.18;0;510;0;1
30/11/6;-30.00;0;263;1;0
1/12/6;84.40;0;290;0;1
4/12/6;-30.00;0;655;1;0
5/12/6;-30.00;0;242;1;0
6/12/6;99.77;0;280;0;1
7/12/6;58.55;0;0;0;0
8/12/6;-30.00;0;246;1;0
11/12/6;-30.00;0;193;1;0
12/12/6;-30.00;0;270;1;0
13/12/6;98.10;0;514;0;1
14/12/6;-30.00;0;186;1;0
15/12/6;120.61;0;270;0;1
18/12/6;-30.00;0;220;1;0
19/12/6;-30.00;0;189;1;0
20/12/6;-30.00;0;198;1;0
21/12/6;133.84;0;578;0;1
22/12/6;127.86;0;696;0;1
26/12/6;4.57;0;0;0;0
27/12/6;-30.00;0;474;1;0
28/12/6;-30.00;0;256;1;0
29/12/6;-30.00;0;426;1;0
2/1/7;-30.00;0;209;1;0
3/1/7;70.28;0;309;0;1
4/1/7;95.78;0;213;0;1
5/1/7;99.61;0;510;0;1
8/1/7;-30.00;0;213;1;0
9/1/7;107.60;0;598;0;1
10/1/7;116.72;0;614;0;1
11/1/7;-30.00;0;420;1;0
12/1/7;-30.00;0;546;1;0
15/1/7;30.12;0;0;0;0
16/1/7;-30.00;0;275;1;0
17/1/7;-30.00;0;215;1;0
18/1/7;102.34;0;450;0;1
19/1/7;98.27;0;545;0;1
22/1/7;99.57;0;468;0;1
23/1/7;-30.00;0;190;1;0
24/1/7;116.07;0;618;0;1
25/1/7;-30.00;0;187;1;0
26/1/7;117.87;0;510;0;1
29/1/7;-30.00;0;594;1;0
30/1/7;-30.00;0;470;1;0
31/1/7;-30.00;0;582;1;0
1/2/7;-30.00;0;600;1;0
2/2/7;-30.00;0;509;1;0
5/2/7;-30.00;0;211;1;0
6/2/7;-30.00;0;288;1;0
7/2/7;-30.00;0;322;1;0
8/2/7;-30.00;0;551;1;0
9/2/7;9.23;0;0;0;0
12/2/7;88.49;0;287;0;1
13/2/7;-30.00;0;401;1;0
14/2/7;-30.00;0;190;1;0
15/2/7;-30.00;0;540;1;0
16/2/7;9.13;0;0;0;0
19/2/7;15.96;0;0;0;0
20/2/7;59.26;0;0;0;0
21/2/7;65.86;0;393;0;1
22/2/7;-30.00;0;244;1;0
23/2/7;-30.00;0;545;1;0
26/2/7;45.52;0;0;0;0
27/2/7;-30.00;0;189;1;0
28/2/7;-30.00;0;510;1;0
1/3/7;86.76;0;615;0;1
2/3/7;-2.28;0;0;0;0
5/3/7;88.06;0;386;0;1
6/3/7;41.14;0;0;0;0
7/3/7;-30.00;0;456;1;0
8/3/7;90.60;0;553;0;1
9/3/7;-30.00;0;497;1;0
12/3/7;-30.00;0;290;1;0
13/3/7;-30.00;0;433;1;0
14/3/7;-30.00;0;273;1;0
15/3/7;-30.00;0;512;1;0
16/3/7;-30.00;0;274;1;0
19/3/7;-30.00;0;252;1;0
20/3/7;4.51;0;0;0;0
21/3/7;29.29;0;0;0;0
22/3/7;60.13;0;415;0;1
23/3/7;57.62;0;316;0;1
26/3/7;-30.00;0;571;1;0
27/3/7;-30.00;0;246;1;0
28/3/7;-30.00;0;193;1;0
29/3/7;-30.00;0;260;1;0
30/3/7;74.66;0;268;0;1
2/4/7;-30.00;0;470;1;0
3/4/7;11.22;0;0;0;0
4/4/7;-30.00;0;214;1;0
5/4/7;-30.00;0;440;1;0
6/4/7;84.06;0;511;0;1
9/4/7;-30.00;0;265;1;0
10/4/7;-30.00;0;527;1;0
11/4/7;-30.00;0;657;1;0
12/4/7;-30.00;0;617;1;0
13/4/7;-30.00;0;198;1;0
16/4/7;6.64;0;0;0;0
17/4/7;-30.00;0;510;1;0
18/4/7;-30.00;0;297;1;0
19/4/7;-30.00;0;183;1;0
20/4/7;75.45;0;535;0;1
23/4/7;68.61;0;467;0;1
24/4/7;-30.00;0;408;1;0
25/4/7;-30.00;0;612;1;0
26/4/7;68.39;0;334;0;1
27/4/7;-30.00;0;242;1;0
30/4/7;-30.00;0;510;1;0
1/5/7;-30.00;0;555;1;0
2/5/7;-30.00;0;546;1;0
3/5/7;-30.00;0;509;1;0
4/5/7;-30.00;0;510;1;0
7/5/7;-30.00;0;511;1;0
8/5/7;106.35;0;408;0;1
9/5/7;-30.00;0;555;1;0
10/5/7;97.43;0;531;0;1
11/5/7;-30.00;0;510;1;0
14/5/7;-30.00;0;239;1;0
15/5/7;-30.00;0;513;1;0
16/5/7;96.89;0;668;0;1
17/5/7;114.57;0;518;0;1
18/5/7;-30.00;0;259;1;0
21/5/7;115.64;0;396;0;1
22/5/7;22.27;0;0;0;0
23/5/7;-30.00;0;457;1;0
24/5/7;40.15;0;0;0;0
25/5/7;-30.00;0;501;1;0
28/5/7;8.92;0;0;0;0
29/5/7;-30.00;0;236;1;0
30/5/7;-30.00;0;281;1;0
31/5/7;-30.00;0;481;1;0
1/6/7;62.86;0;510;0;1
4/6/7;-30.00;0;309;1;0
5/6/7;-30.00;0;379;1;0
6/6/7;84.62;0;709;0;1
7/6/7;88.71;0;387;0;1
8/6/7;97.38;0;323;0;1
11/6/7;-30.00;0;260;1;0
12/6/7;92.21;0;628;0;1
13/6/7;86.59;0;303;0;1
14/6/7;-30.00;0;244;1;0
15/6/7;-30.00;0;510;1;0
18/6/7;-30.00;0;463;1;0
19/6/7;76.22;0;300;0;1
20/6/7;8.94;0;0;0;0
21/6/7;56.99;0;186;0;1
22/6/7;-30.00;0;330;1;0
25/6/7;-30.00;0;546;1;0
26/6/7;-30.00;0;417;1;0
27/6/7;-30.00;0;344;1;0
28/6/7;11.14;0;0;0;0
29/6/7;-30.00;0;326;1;0
2/7/7;-30.00;0;216;1;0
3/7/7;80.45;0;251;0;1
4/7/7;-2.20;0;0;0;0
5/7/7;-30.00;0;228;1;0
6/7/7;-30.00;0;546;1;0
9/7/7;-30.00;0;206;1;0
10/7/7;-30.00;0;202;1;0
11/7/7;-30.00;0;429;1;0
12/7/7;-30.00;0;213;1;0
13/7/7;-30.00;0;224;1;0
16/7/7;-30.00;0;306;1;0
17/7/7;79.41;0;333;0;1
18/7/7;71.84;0;284;0;1
